"Active From","نشط من"
"Active To","نشط إلى"
"Add to Cart","أضف إلى السلة"
"Add to Compare","أضف للمقارنة"
"Add to Wish List","أضف إلى قائمة الامنيات"
"Auto Width","عرض تلقائي"
"Autoplay","تشغيل تلقائي"
"Change name of nav button","تغيير اسم زر التنقل"
"Create New Slider","إنشاء شريط تمرير جديد"
"Data","البيانات"
"Delete","حذف"
"Delete ","حذف"
"Delete Slider","حذف شريط التمرير"
"Edit","تصحيح"
"Edit Slider ","تحرير شريط التمرير"
"In stock","في المخزن"
"Is Enabled Module","هو وحدة تمكين"
"Is Responsive","مستجيب"
"Lazy load images","كسول تحميل الصور"
"Loop Slider","حلقة المتزلج"
"Margin Between Items","الهامش بين العناصر"
"Max Items Slider (Screen Bigger Than 1000)","ماكس العناصر المتزلج (الشاشة أكبر من 1000)"
"Max Items Slider (Screen From 0 to 600)","ماكس إيتمس سليدر (شاشة من 0 إلى 600)"
"Max Items Slider (Screen From 600 to 1000)","ماكس إيتمس سليدر (شاشة من 600 إلى 1000)"
"Name","اسم"
"New Slider","شريط التمرير الجديد"
"Next/Prev buttons","التالي / السابق أزرار"
"No","لا"
"Out of stock","إنتهى من المخزن"
"Product Slider","تمرير المنتج"
"Product Slider Settings","إعدادات شريط تمرير المنتج"
"Recently Viewed","شوهدت مؤخرا"
"Save Slider","حفظ المتزلج"
"Save and Continue Edit","حفظ ومتابعة تحرير"
"Should be 1 to most style","يجب أن يكون 1 لمعظم الاسلوب"
"Should be 10 to most style","يجب أن يكون 10 لمعظم الاسلوب"
"Should be 3 to most style","يجب أن يكون 3 لمعظم الاسلوب"
"Should be 5 to most style","يجب أن يكون 5 لمعظم الاسلوب"
"Show Dots Navigation","إظهار نقاط التنقل"
"Slider","المنزلق"
"Slider Information","معلومات المنزلق"
"Slider to delete was not found.","لم يتم العثور على شريط التمرير لحذفه."
"Sliders","المتزلجون"
"Something went wrong while saving the Slider.","حدث خطأ ما أثناء حفظ شريط التمرير."
"Status","الحالة"
"Store 1","مخزن 1"
"Store 2","مخزن 2"
"Store View","عرض المتجر"
"The Slider has been deleted.","تم حذف شريط التمرير."
"The Slider has been saved.","تم حفظ شريط التمرير."
"This Slider no longer exists.","لم يعد شريط التمرير هذا موجودا."
"Yes","نعم فعلا"
