"Active From","актыўны З"
"Active To","актыўны Да"
"Add to Cart","Дадаць у кошык"
"Add to Compare","Дадаць у параўнанне"
"Add to Wish List","Дадаць у Спіс Жаданняў"
"Auto Width","аўто Шырыня"
"Autoplay","аўтазапуск"
"Change name of nav button","Змяніць назву навігацыйных кнопак"
"Create New Slider","Стварыць новы слайдэр"
"Data","дадзеныя"
"Delete","выдаляць"
"Delete ","выдаляць"
"Delete Slider","выдаліць Slider"
"Edit","рэдагаваць"
"Edit Slider ","змяніць Slider"
"In stock","у запасе"
"Is Enabled Module","Ці з'яўляецца уключаны модуль"
"Is Responsive","спагадны"
"Lazy load images","Гультаяватыя загрузкі малюнкаў"
"Loop Slider","цыкл Slider"
"Margin Between Items","Маржа паміж элементамі"
"Max Items Slider (Screen Bigger Than 1000)","Максімальную колькасць прадметаў Slider (Screen Bigger Than 1000)"
"Max Items Slider (Screen From 0 to 600)","Максімальную колькасць прадметаў Slider (экран ад 0 да 600)"
"Max Items Slider (Screen From 600 to 1000)","Максімальную колькасць прадметаў Slider (экран ад 600 да 1000)"
"Name","імя"
"New Slider","новы слайдер"
"Next/Prev buttons","Наступныя кнопкі / Папярэд"
"No","няма"
"Out of stock","Няма ў наяўнасці"
"Product Slider","Slider прадукту"
"Product Slider Settings","Налады слайдера прадукту"
"Recently Viewed","нядаўна прагледжаных"
"Save Slider","захаваць Slider"
"Save and Continue Edit","Захаваць і працягнуць рэдагаванне"
"Should be 1 to most style","Павінна быць 1 да большасці стылю"
"Should be 10 to most style","Павінна быць 10 для большасці стылю"
"Should be 3 to most style","Павінна быць 3 да большасці стылю"
"Should be 5 to most style","Павінна быць ад 5 да найбольш стылю"
"Show Dots Navigation","Паказаць Кропкі навігацыі"
"Slider","паўзунок"
"Slider Information","Slider інфармацыя"
"Slider to delete was not found.","Slider, каб выдаліць не быў знойдзены."
"Sliders","слайдары"
"Something went wrong while saving the Slider.","Нешта пайшло не так пры захаванні Slider."
"Status","статус"
"Store 1","крама 1"
"Store 2","магазін 2"
"Store View","магазін Прагляд"
"The Slider has been deleted.","Slider быў выдалены."
"The Slider has been saved.","Slider захаваны."
"This Slider no longer exists.","Гэта не Slider больш не існуе."
"Yes","ды"
