"Active From","Aktivní od"
"Active To","Aktivní do"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat k porovnání"
"Add to Wish List","Přidat do seznamu přání"
"Auto Width","Automatická šířka"
"Autoplay","Automatické přehrávání"
"Change name of nav button","Změnit název tlačítka nav"
"Create New Slider","Vytvořte nový posuvník"
"Data","Data"
"Delete","Vymazat"
"Delete ","Vymazat"
"Delete Slider","Smazat posuvník"
"Edit","Upravit"
"Edit Slider ","Upravit posuvník"
"In stock","Na skladě"
"Is Enabled Module","Je povolen modul"
"Is Responsive","Je citlivý"
"Lazy load images","Lazy load images"
"Loop Slider","Posuvník smyčky"
"Margin Between Items","Okraj mezi položkami"
"Max Items Slider (Screen Bigger Than 1000)","Max. Posuvník položek (obrazovka větší než 1000)"
"Max Items Slider (Screen From 0 to 600)","Posuvník max. Položek (obrazovka od 0 do 600)"
"Max Items Slider (Screen From 600 to 1000)","Posuvník max. Položek (obrazovka od 600 do 1000)"
"Name","název"
"New Slider","Nový posuvník"
"Next/Prev buttons","Další tlačítka / Předcházející"
"No","Ne"
"Out of stock","Vyprodáno"
"Product Slider","Posuvník produktu"
"Product Slider Settings","Nastavení posuvníku produktu"
"Recently Viewed","nedávno shlédnutý"
"Save Slider","Uložit posuvník"
"Save and Continue Edit","Uložit a pokračovat v úpravě"
"Should be 1 to most style","Měla by být 1 do většiny stylu"
"Should be 10 to most style","Měli by být 10 nejvíce styl"
"Should be 3 to most style","Měla by být 3 na většinu stylu"
"Should be 5 to most style","Měli by být 5 nejvíce styl"
"Show Dots Navigation","Zobrazit navigaci bodů"
"Slider","Posuvník"
"Slider Information","Informace o posuvníku"
"Slider to delete was not found.","Posuvník pro odstranění nebyl nalezen."
"Sliders","Posuvníky"
"Something went wrong while saving the Slider.","Při ukládání posuvníku došlo k chybě."
"Status","Postavení"
"Store 1","Skladujte 1"
"Store 2","Skladujte 2"
"Store View","Zobrazení obchodu"
"The Slider has been deleted.","Posuvník byl smazán."
"The Slider has been saved.","Posuvník byl uložen."
"This Slider no longer exists.","Tento posuvník již neexistuje."
"Yes","Ano"
