"Active From","Aktiv von"
"Active To","Aktiv zu"
"Add to Cart","in den Warenkorb legen"
"Add to Compare","Hinzufügen zum vergleichen"
"Add to Wish List","Zur Wunschliste hinzufügen"
"Auto Width","Automatische Breite"
"Autoplay","Automatisches Abspielen"
"Change name of nav button","Ändere den Namen der Nav-Taste"
"Create New Slider","Erstellen Sie einen neuen Schieberegler"
"Data","Daten"
"Delete","Löschen"
"Delete ","Löschen"
"Delete Slider","Schieberegler löschen"
"Edit","Bearbeiten"
"Edit Slider ","Schieberegler bearbeiten"
"In stock","Auf Lager"
"Is Enabled Module","Ist aktiviertes Modul"
"Is Responsive","Ist responsive"
"Lazy load images","Lazy load Bilder"
"Loop Slider","Schleifenschieber"
"Margin Between Items","Rand zwischen Gegenständen"
"Max Items Slider (Screen Bigger Than 1000)","Max Items Slider (Bildschirm größer als 1000)"
"Max Items Slider (Screen From 0 to 600)","Max Items Slider (Bildschirm von 0 bis 600)"
"Max Items Slider (Screen From 600 to 1000)","Max Items Slider (Bildschirm von 600 bis 1000)"
"Name","Name"
"New Slider","Neuer Slider"
"Next/Prev buttons","Nächste / Vorherige Tasten"
"No","Nein"
"Out of stock","Ausverkauft"
"Product Slider","Produktschieber"
"Product Slider Settings","Produkt-Schieberegler-Einstellungen"
"Recently Viewed","zuletzt angesehen"
"Save Slider","Schieberegler speichern"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Should be 1 to most style","Sollte 1 zu den meisten Stil sein"
"Should be 10 to most style","Sollte 10 bis zum meisten Stil"
"Should be 3 to most style","Sollte 3 zu den meisten Stil sein"
"Should be 5 to most style","Sollte 5 zu den meisten Stil sein"
"Show Dots Navigation","Show Dots Navigation"
"Slider","Schieberegler"
"Slider Information","Schiebereglerinformationen"
"Slider to delete was not found.","Slider zum Löschen wurde nicht gefunden."
"Sliders","Schieber"
"Something went wrong while saving the Slider.","Etwas ging falsch beim Speichern des Sliders."
"Status","Status"
"Store 1","Speichern 1"
"Store 2","Speicher 2"
"Store View","Store-Ansicht"
"The Slider has been deleted.","Der Slider wurde gelöscht."
"The Slider has been saved.","Der Slider wurde gespeichert."
"This Slider no longer exists.","Dieser Slider existiert nicht mehr."
"Yes","Ja"
