"Active From","Ενεργός από"
"Active To","Ενεργός σε"
"Add to Cart","Προσθήκη στο καλάθι"
"Add to Compare","Προσθήκη για σύγκριση"
"Add to Wish List","Πρόσθεσε στην λίστα επιθυμιών"
"Auto Width","Αυτόματο πλάτος"
"Autoplay","Αυτόματη αναπαραγωγή"
"Change name of nav button","Αλλάξτε το όνομα του κουμπιού nav"
"Create New Slider","Δημιουργία νέου ρυθμιστικού"
"Data","Δεδομένα"
"Delete","Διαγράφω"
"Delete ","Διαγράφω"
"Delete Slider","Διαγραφή ρυθμιστικού"
"Edit","Επεξεργασία"
"Edit Slider ","Επεξεργασία ρυθμιστικού"
"In stock","Σε απόθεμα"
"Is Enabled Module","Ενεργοποιείται η ενότητα"
"Is Responsive","Είναι ανταποκρινόμενος"
"Lazy load images","Lazy εικόνες φορτίου"
"Loop Slider","Ρυθμιστής βρόχου"
"Margin Between Items","Περιθώριο μεταξύ αντικειμένων"
"Max Items Slider (Screen Bigger Than 1000)","Μέγιστο στοιχείο Slider (οθόνη μεγαλύτερη από 1000)"
"Max Items Slider (Screen From 0 to 600)","Ταχύτητα μεγίστων στοιχείων (οθόνη από 0 έως 600)"
"Max Items Slider (Screen From 600 to 1000)","Μέγιστο ρυθμιστικό στοιχείων (οθόνη από 600 έως 1000)"
"Name","Ονομα"
"New Slider","Νέο ρυθμιστικό"
"Next/Prev buttons","Επόμενα / Προηγ. Κουμπιά"
"No","Οχι"
"Out of stock","Εκτός αποθέματος"
"Product Slider","Προϊόν ρυθμιστικό"
"Product Slider Settings","Ρυθμίσεις ολίσθησης προϊόντος"
"Recently Viewed","Πρόσφατα προβεβλημένα"
"Save Slider","Αποθήκευση ρυθμιστικού"
"Save and Continue Edit","Αποθηκεύστε και συνεχίστε την επεξεργασία"
"Should be 1 to most style","Πρέπει να είναι 1 ως το πιο στυλ"
"Should be 10 to most style","Θα πρέπει να είναι 10 έως το πιο στυλ"
"Should be 3 to most style","Θα πρέπει να είναι 3 έως τα περισσότερα στυλ"
"Should be 5 to most style","Θα πρέπει να είναι 5 έως το πιο στυλ"
"Show Dots Navigation","Εμφάνιση πλοήγησης Dots"
"Slider","Ολισθητής"
"Slider Information","Πληροφορίες δρομέα"
"Slider to delete was not found.","Ο ρυθμιστής για διαγραφή δεν βρέθηκε."
"Sliders","Ολισθητήρες"
"Something went wrong while saving the Slider.","Κάτι πήγε στραβά κατά την αποθήκευση του ρυθμιστικού."
"Status","Κατάσταση"
"Store 1","Αποθηκεύστε 1"
"Store 2","Αποθηκεύστε 2"
"Store View","Προβολή καταστήματος"
"The Slider has been deleted.","Το ρυθμιστικό έχει διαγραφεί."
"The Slider has been saved.","Το slider έχει αποθηκευτεί."
"This Slider no longer exists.","Αυτό το ρυθμιστικό δεν υπάρχει πλέον."
"Yes","Ναί"
