"Active From","Activo de"
"Active To","Activo a"
"Add to Cart","añadir a la cesta"
"Add to Compare","Añadir a comparar"
"Add to Wish List","Añadir a la lista de deseos"
"Auto Width","Ancho automático"
"Autoplay","Auto reproducción"
"Change name of nav button","Cambiar el nombre del botón de navegación"
"Create New Slider","Crear nuevo control deslizante"
"Data","Datos"
"Delete","Borrar"
"Delete ","Borrar"
"Delete Slider","Eliminar control deslizante"
"Edit","Editar"
"Edit Slider ","Editar control deslizante"
"In stock","En stock"
"Is Enabled Module","Está habilitado módulo"
"Is Responsive","Es sensible"
"Lazy load images","Imágenes de carga perezosa"
"Loop Slider","Control deslizante de bucle"
"Margin Between Items","Margen entre artículos"
"Max Items Slider (Screen Bigger Than 1000)","Control deslizante de elementos máximos (pantalla mayor de 1000)"
"Max Items Slider (Screen From 0 to 600)","Elemento máximo deslizante (Pantalla de 0 a 600)"
"Max Items Slider (Screen From 600 to 1000)","Control deslizante de elementos máximos (pantalla de 600 a 1000)"
"Name","Nombre"
"New Slider","Nuevo control deslizante"
"Next/Prev buttons","Botones Next / Prev"
"No","No"
"Out of stock","Agotado"
"Product Slider","Control deslizante del producto"
"Product Slider Settings","Configuración del control deslizante del producto"
"Recently Viewed","visto recientemente"
"Save Slider","Guardar deslizante"
"Save and Continue Edit","Guardar y continuar Editar"
"Should be 1 to most style","Debe ser 1 a la mayoría de estilo"
"Should be 10 to most style","Debe ser 10 a la mayoría de estilo"
"Should be 3 to most style","Debe ser 3 a la mayoría de estilo"
"Should be 5 to most style","Debe ser 5 a la mayoría de estilo"
"Show Dots Navigation","Mostrar navegación de puntos"
"Slider","Deslizador"
"Slider Information","Información del control deslizante"
"Slider to delete was not found.","No se encontró el control deslizante a eliminar."
"Sliders","Deslizadores"
"Something went wrong while saving the Slider.","Se ha producido un error al guardar el control deslizante."
"Status","Estado"
"Store 1","Tienda 1"
"Store 2","Tienda 2"
"Store View","Ver tienda"
"The Slider has been deleted.","Se ha eliminado el control deslizante."
"The Slider has been saved.","El control deslizante se ha guardado."
"This Slider no longer exists.","Este control deslizante ya no existe."
"Yes","Sí"
