"Active From","활동 시작"
"Active To","활성화 대상"
"Add to Cart","장바구니에 담기"
"Add to Compare","비교 목록에 추가"
"Add to Wish List","위시리스트에 추가"
"Auto Width","자동 너비"
"Autoplay","자동 재생"
"Change name of nav button","탐색 버튼의 이름 변경"
"Create New Slider","새 슬라이더 만들기"
"Data","데이터"
"Delete","지우다"
"Delete ","지우다"
"Delete Slider","슬라이더 삭제"
"Edit","편집하다"
"Edit Slider ","슬라이더 편집"
"In stock","재고"
"Is Enabled Module","사용 가능 모듈"
"Is Responsive","반응 형인가요?"
"Lazy load images","게으른로드 이미지"
"Loop Slider","루프 슬라이더"
"Margin Between Items","항목 간의 여백"
"Max Items Slider (Screen Bigger Than 1000)","최대 항목 슬라이더 (1000보다 큰 화면)"
"Max Items Slider (Screen From 0 to 600)","최대 항목 슬라이더 (0에서 600까지의 화면)"
"Max Items Slider (Screen From 600 to 1000)","최대 품목 슬라이더 (스크린 600에서 1000까지)"
"Name","이름"
"New Slider","새 슬라이더"
"Next/Prev buttons","다음 / 이전 버튼"
"No","아니"
"Out of stock","품절"
"Product Slider","제품 슬라이더"
"Product Slider Settings","제품 슬라이더 설정"
"Recently Viewed","최근에 본"
"Save Slider","슬라이더 저장"
"Save and Continue Edit","저장하고 계속하기 편집"
"Should be 1 to most style","대부분의 스타일에서 1이어야합니다."
"Should be 10 to most style","대부분의 스타일에서 10이어야합니다."
"Should be 3 to most style","대부분의 스타일에서 3이어야합니다."
"Should be 5 to most style","대부분의 스타일에서 5가되어야합니다."
"Show Dots Navigation","도트 탐색 표시"
"Slider","슬라이더"
"Slider Information","슬라이더 정보"
"Slider to delete was not found.","삭제할 슬라이더를 찾을 수 없습니다."
"Sliders","슬라이더"
"Something went wrong while saving the Slider.","슬라이더를 저장하는 동안 문제가 발생했습니다."
"Status","지위"
"Store 1","매장 1"
"Store 2","스토어 2"
"Store View","스토어 뷰"
"The Slider has been deleted.","슬라이더가 삭제되었습니다."
"The Slider has been saved.","슬라이더가 저장되었습니다."
"This Slider no longer exists.","이 슬라이더는 더 이상 존재하지 않습니다."
"Yes","예"
