"Active From","Actief Van"
"Active To","Actief aan"
"Add to Cart","Voeg toe aan winkelmandje"
"Add to Compare","Voeg toe om te vergelijken"
"Add to Wish List","Toevoegen aan wenslijst"
"Auto Width","Automatische breedte"
"Autoplay","Automatisch afspelen"
"Change name of nav button","Wijzig de naam van de nav knop"
"Create New Slider","Maak een nieuwe schuif aan"
"Data","Gegevens"
"Delete","Verwijder"
"Delete ","Verwijder"
"Delete Slider","Schuifregelaar verwijderen"
"Edit","Bewerk"
"Edit Slider ","Schuifbalk bewerken"
"In stock","Op voorraad"
"Is Enabled Module","Is ingeschakeld module"
"Is Responsive","Is Responsief"
"Lazy load images","Lazy load images"
"Loop Slider","Loop Slider"
"Margin Between Items","Marge tussen items"
"Max Items Slider (Screen Bigger Than 1000)","Max. Items Schuifregelaar (Scherm groter dan 1000)"
"Max Items Slider (Screen From 0 to 600)","Max. Items schuifregelaar (scherm van 0 tot 600)"
"Max Items Slider (Screen From 600 to 1000)","Schuifregelaar Max. Items (scherm van 600 tot 1000)"
"Name","Naam"
"New Slider","Nieuwe schuifregelaar"
"Next/Prev buttons","Volgende / Vorige toetsen"
"No","Nee"
"Out of stock","Niet op voorraad"
"Product Slider","Product Slider"
"Product Slider Settings","Instellingen van de schuifregelaar"
"Recently Viewed","Recent bekeken"
"Save Slider","Sla Slider op"
"Save and Continue Edit","Opslaan en doorgaan Bewerken"
"Should be 1 to most style","Moet 1 voor de meeste stijl zijn"
"Should be 10 to most style","Moet 10 voor de meeste stijl zijn"
"Should be 3 to most style","Moet 3 voor de meeste stijl zijn"
"Should be 5 to most style","Moet 5 voor de meeste stijl zijn"
"Show Dots Navigation","Toon Dots Navigation"
"Slider","schuif"
"Slider Information","Slider informatie"
"Slider to delete was not found.","Schuifregelaar die u wilt verwijderen is niet gevonden."
"Sliders","sliders"
"Something went wrong while saving the Slider.","Er is iets fout gegaan tijdens het opslaan van de schuifregelaar."
"Status","staat"
"Store 1","Bewaar 1"
"Store 2","Bewaar 2"
"Store View","Winkelweergave"
"The Slider has been deleted.","De schuifregelaar is verwijderd."
"The Slider has been saved.","De Slider is opgeslagen."
"This Slider no longer exists.","Deze schuifregelaar bestaat niet meer."
"Yes","Ja"
