"Active From","Aktywny od"
"Active To","Aktywny do"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wish List","Dodaj do listy życzeń"
"Auto Width","Auto szerokość"
"Autoplay","Automatyczne odtwarzanie"
"Change name of nav button","Zmień nazwę przycisku nav"
"Create New Slider","Utwórz nowy suwak"
"Data","Dane"
"Delete","Kasować"
"Delete ","Kasować"
"Delete Slider","Usuń suwak"
"Edit","Edytować"
"Edit Slider ","Edytuj suwak"
"In stock","W magazynie"
"Is Enabled Module","Jest włączony moduł"
"Is Responsive","Odpowiedzialna"
"Lazy load images","Ładne obrazy obciążenia"
"Loop Slider","Suwak Loop"
"Margin Between Items","Margines między pozycjami"
"Max Items Slider (Screen Bigger Than 1000)","Suwak elementu większego (ekran większy niż 1000)"
"Max Items Slider (Screen From 0 to 600)","Suwak elementu maks. (Ekran od 0 do 600)"
"Max Items Slider (Screen From 600 to 1000)","Suwak elementu maksymalnego (ekran od 600 do 1000)"
"Name","Nazwa"
"New Slider","Nowy suwak"
"Next/Prev buttons","Przyciski Następny / Poprzedni"
"No","Nie"
"Out of stock","Obecnie brak na stanie"
"Product Slider","Suwak produktu"
"Product Slider Settings","Ustawienia suwaka produktu"
"Recently Viewed","Ostatnio oglądane"
"Save Slider","Zapisz suwak"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Should be 1 to most style","Powinien być 1 w najbardziej stylu"
"Should be 10 to most style","Powinien być 10 do najbardziej stylu"
"Should be 3 to most style","Powinien być 3 do większości stylu"
"Should be 5 to most style","Powinien być 5 do najbardziej stylu"
"Show Dots Navigation","Pokaż pokazy slajdów"
"Slider","Suwak"
"Slider Information","Informacje o suwakach"
"Slider to delete was not found.","Usunięto suwak, który nie został znaleziony."
"Sliders","Suwaki"
"Something went wrong while saving the Slider.","Coś poszło nie tak, zachowując suwak."
"Status","Status"
"Store 1","Sklep 1"
"Store 2","Przechowywać 2"
"Store View","Widok sklepu"
"The Slider has been deleted.","Suwak został usunięty."
"The Slider has been saved.","Suwak został zapisany."
"This Slider no longer exists.","Ten suwak już nie istnieje."
"Yes","tak"
