"Active From","Active From"
"Active To","Active To"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wish List","Add to Wish List"
"Auto Width","Auto Width"
"Autoplay","Autoplay"
"Change name of nav button","Change name of nav button"
"Create New Slider","Create New Slider"
"Data","Data"
"Delete","Delete"
"Delete ","Delete "
"Delete Slider","Delete Slider"
"Edit","Edit"
"Edit Slider ","Edit Slider "
"In stock","In stock"
"Is Enabled Module","Is Enabled Module"
"Is Responsive","Is Responsive"
"Lazy load images","Lazy load images"
"Loop Slider","Loop Slider"
"Margin Between Items","Margin Between Items"
"Max Items Slider (Screen Bigger Than 1000)","Max Items Slider (Screen Bigger Than 1000)"
"Max Items Slider (Screen From 0 to 600)","Max Items Slider (Screen From 0 to 600)"
"Max Items Slider (Screen From 600 to 1000)","Max Items Slider (Screen From 600 to 1000)"
"Name","Name"
"New Slider","New Slider"
"Next/Prev buttons","Next/Prev buttons"
"No","No"
"Out of stock","Out of stock"
"Product Slider","Product Slider"
"Product Slider Settings","Product Slider Settings"
"Recently Viewed","Recently Viewed"
"Save Slider","Save Slider"
"Save and Continue Edit","Save and Continue Edit"
"Should be 1 to most style","Should be 1 to most style"
"Should be 10 to most style","Should be 10 to most style"
"Should be 3 to most style","Should be 3 to most style"
"Should be 5 to most style","Should be 5 to most style"
"Show Dots Navigation","Show Dots Navigation"
"Slider","Slider"
"Slider Information","Slider Information"
"Slider to delete was not found.","Slider to delete was not found."
"Sliders","Sliders"
"Something went wrong while saving the Slider.","Something went wrong while saving the Slider."
"Status","Status"
"Store 1","Store 1"
"Store 2","Store 2"
"Store View","Store View"
"The Slider has been deleted.","The Slider has been deleted."
"The Slider has been saved.","The Slider has been saved."
"This Slider no longer exists.","This Slider no longer exists."
"Yes","Yes"
