"Active From","Активен от"
"Active To","Активный"
"Add to Cart","добавить в корзину"
"Add to Compare","Добавить к сравнению"
"Add to Wish List","Добавить в список желаний"
"Auto Width","Авто ширина"
"Autoplay","Автовоспроизведение"
"Change name of nav button","Изменение имени кнопки nav"
"Create New Slider","Создать новый слайдер"
"Data","Данные"
"Delete","Удалить"
"Delete ","Удалить"
"Delete Slider","Удалить слайдер"
"Edit","редактировать"
"Edit Slider ","Редактировать слайдер"
"In stock","В наличии"
"Is Enabled Module","Включен модуль"
"Is Responsive","Является отзывчивым"
"Lazy load images","Ленивые изображения загрузки"
"Loop Slider","Loop Slider"
"Margin Between Items","Маржа между элементами"
"Max Items Slider (Screen Bigger Than 1000)","Максимальный размер ползунка (экран больше 1000)"
"Max Items Slider (Screen From 0 to 600)","Max Items Slider (Экран от 0 до 600)"
"Max Items Slider (Screen From 600 to 1000)","Max Items Slider (Экран от 600 до 1000)"
"Name","имя"
"New Slider","Новый слайдер"
"Next/Prev buttons","Кнопки Next / Prev"
"No","нет"
"Out of stock","Нет на складе"
"Product Slider","Слайдер продукта"
"Product Slider Settings","Настройки ползунка продукта"
"Recently Viewed","Недавно просмотренные"
"Save Slider","Сохранить слайдер"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Should be 1 to most style","Должно быть 1 для большинства стилей"
"Should be 10 to most style","Должно быть 10 в большинстве стилей"
"Should be 3 to most style","Должно быть 3 к самому стилю"
"Should be 5 to most style","Должно быть 5 в большинстве стилей"
"Show Dots Navigation","Показать точки навигации"
"Slider","ползунок"
"Slider Information","Информация о слайдере"
"Slider to delete was not found.","Ползунок для удаления не найден."
"Sliders","Слайдеры"
"Something went wrong while saving the Slider.","При сохранении слайдера что-то пошло не так."
"Status","Положение дел"
"Store 1","Магазин 1"
"Store 2","Магазин 2"
"Store View","Просмотр магазина"
"The Slider has been deleted.","Ползунок удален."
"The Slider has been saved.","Ползунок сохранен."
"This Slider no longer exists.","Этот слайдер больше не существует."
"Yes","да"
