"Active From","Ацтиве Фром"
"Active To","Активно"
"Add to Cart","Додај у колица"
"Add to Compare","Додај за упоређивање"
"Add to Wish List","Додај у листу жеља"
"Auto Width","Ауто Ширина"
"Autoplay","Аутоматско покретање"
"Change name of nav button","Промените име дугмета нав"
"Create New Slider","Креирај нови клизач"
"Data","Подаци"
"Delete","Избриши"
"Delete ","Избриши"
"Delete Slider","Обриши Слидер"
"Edit","Уредити"
"Edit Slider ","Измените клизач"
"In stock","На лагеру"
"Is Enabled Module","Омогућен је модул"
"Is Responsive","Је одговоран"
"Lazy load images","Лазне оптерећења"
"Loop Slider","Лооп Слидер"
"Margin Between Items","Маргин између ставки"
"Max Items Slider (Screen Bigger Than 1000)","Слајдер максималних ставки (екран већи од 1000)"
"Max Items Slider (Screen From 0 to 600)","Слајдер максималних ставки (екран од 0 до 600)"
"Max Items Slider (Screen From 600 to 1000)","Слајдер максималних ставки (екран од 600 до 1000)"
"Name","Име"
"New Slider","Нови клизач"
"Next/Prev buttons","Следећи / Претходни тастери"
"No","Не"
"Out of stock","Нема на залихи"
"Product Slider","Слидер производа"
"Product Slider Settings","Поставке клизача производа"
"Recently Viewed","Недавно прегледано"
"Save Slider","Сачувај клизач"
"Save and Continue Edit","Сачувај и настави уредити"
"Should be 1 to most style","Требало би да буде 1 у већини стилова"
"Should be 10 to most style","Требало би да буде 10 до већине стила"
"Should be 3 to most style","Требало би бити 3 до већине стила"
"Should be 5 to most style","Требало би бити 5 до већине стила"
"Show Dots Navigation","Покажи Дотс Навигатион"
"Slider","Клизач"
"Slider Information","Информације о клизачу"
"Slider to delete was not found.","Клизач за брисање није пронађен."
"Sliders","Клизачи"
"Something went wrong while saving the Slider.","Нешто је кренуло наопако док сте снимали Слајдер."
"Status","Статус"
"Store 1","Сторе 1"
"Store 2","Сторе 2"
"Store View","Сторе Сторе"
"The Slider has been deleted.","Слајдер је избрисан."
"The Slider has been saved.","Слајдер је спасен."
"This Slider no longer exists.","Овај клизач више не постоји."
"Yes","да"
