"Active From","Aktif Kimden"
"Active To","Aktif Kime"
"Add to Cart","Sepete ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wish List","İstek listesine ekle"
"Auto Width","Otomatik Genişlik"
"Autoplay","Otomatik oynatma"
"Change name of nav button","Gezinme düğmesinin adını değiştir"
"Create New Slider","Yeni Kaydırıcıyı Oluştur"
"Data","Veri"
"Delete","silmek"
"Delete ","silmek"
"Delete Slider","Kaydırıcıyı Sil"
"Edit","Düzenleme"
"Edit Slider ","Kaydırıcıyı Düzenle"
"In stock","Stokta var"
"Is Enabled Module","Etkin Moddur"
"Is Responsive","Duyarlı mı"
"Lazy load images","Lazy yük resimleri"
"Loop Slider","Döngü Sürgüsü"
"Margin Between Items","Maddeler Arasındaki Marj"
"Max Items Slider (Screen Bigger Than 1000)","Maks. Öğeler Kaydırıcı (1000'den Büyük Ekran)"
"Max Items Slider (Screen From 0 to 600)","Max Items Slider (Ekran 0'dan 600'e kadar)"
"Max Items Slider (Screen From 600 to 1000)","Maks. Öğeler Kaydırıcı (600'den 1000'e Ekran)"
"Name","isim"
"New Slider","Yeni Kaydırıcı"
"Next/Prev buttons","Sonraki / Önceki düğmeler"
"No","Yok hayır"
"Out of stock","Stoklar tükendi"
"Product Slider","Ürün Kaydırıcısı"
"Product Slider Settings","Ürün Kaydırıcı Ayarları"
"Recently Viewed","Son Görüntülenen"
"Save Slider","Kaydırıcıyı Kaydet"
"Save and Continue Edit","Kaydet ve Devam Et"
"Should be 1 to most style","Çoğu stil için 1 olmalı"
"Should be 10 to most style","Çoğu stil için 10 olmalı"
"Should be 3 to most style","Çoğu stile göre 3 olmalı"
"Should be 5 to most style","Çoğu stil için 5 olmalı"
"Show Dots Navigation","Noktalar Navigasyonunu Göster"
"Slider","kaydırıcı"
"Slider Information","Sürgü Bilgileri"
"Slider to delete was not found.","Silmek için kaydırıcı bulunamadı."
"Sliders","kaydırıcılar"
"Something went wrong while saving the Slider.","Kaydırıcıyı kaydederken bir şeyler ters gitti."
"Status","durum"
"Store 1","Mağaza 1"
"Store 2","Mağaza 2"
"Store View","Mağaza Görünümü"
"The Slider has been deleted.","Kaydırıcı silindi."
"The Slider has been saved.","Kaydırıcı kaydedildi."
"This Slider no longer exists.","Bu Kaydırıcı artık mevcut değil."
"Yes","Evet"
